Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
THR-09061,500ML 3M MARINE LIQUID WAX,59.32,1,31.97,59.32,WEST,WEST,500ML 3M MARINE LIQUID WAX
THR-09062,1LTR 3M MARINE LIQUID WAX,94.81,0,51.09,94.81,WEST,WEST,1LTR 3M MARINE LIQUID WAX
THR-09065,500ML MARINE MILDEW BLOCK,46.06,1,24.82,46.06,WEST,WEST,500ML MARINE MILDEW BLOCK
THR-09067,500ML MILDEW STAIN REMOVER,45.52,4,24.53,45.52,WEST,WEST,500ML MILDEW STAIN REMOVER
THR-09678,13MM SOFT EDGE MASKING FOAM,236.94,0,127.69,236.94,WEST,WEST,13MM SOFT EDGE MASKING FOAM
THR-09973,19MM SOFT EDGE MASKING FOAM,246.14,0,132.65,246.14,WEST,WEST,19MM SOFT EDGE MASKING FOAM
THR-10115NA,#3 SYNTHETIC STEEL WOOL 2/PKG,8.35,0,4.50,8.35,WEST,WEST,#3 SYNTHETIC STEEL WOOL 2/PKG
THR-10116NA,#2 SYNTHETIC STEEL WOOL 2/PKG,8.03,0,4.33,8.03,WEST,WEST,#2 SYNTHETIC STEEL WOOL 2/PKG
THR-10118NA,#0 SYNTHETIC STEEL WOOL 2/PKG,8.35,0,4.50,8.35,WEST,WEST,#0 SYNTHETIC STEEL WOOL 2/PKG
THR-10120NA,#000 SYNTH. STEEL WOOL 2/PKG,8.35,0,4.50,8.35,WEST,WEST,#000 SYNTH. STEEL WOOL 2/PKG
THR-1100,3-M EAR PLUGS,0.37,0,0.21,0.37,WEST,WEST,3-M EAR PLUGS
THR-1130AF,"2""""SCOTCH DUCT TAPE-30YD       """,10.44,0,5.94,10.44,WEST,WEST,"2""""SCOTCH DUCT TAPE-30YD       """
THR-16023,PPS LRG CUP & COLLAR,42.55,0,22.93,42.55,WEST,WEST,PPS LRG CUP & COLLAR
THR-16024,PPS LRG LID & LINERS(25/CASE),247.68,0,140.89,247.68,WEST,WEST,PPS LRG LID & LINERS(25/CASE)
THR-16114,PPS KIT LIDS/LINERS (50),389.91,0,210.13,389.91,WEST,WEST,PPS KIT LIDS/LINERS (50)
THR-16121,PPS H/O MINI PRESSURE CUP,144.39,0,77.81,144.39,WEST,WEST,PPS H/O MINI PRESSURE CUP
THR-16124,PPS H/O LARGE PRESSURE CUP,229.16,0,123.50,229.16,WEST,WEST,PPS H/O LARGE PRESSURE CUP
THR-16578,ACCUSPRAY ONE SPRAY GUN KIT,692.13,0,414.45,692.13,WEST,WEST,ACCUSPRAY ONE SPRAY GUN KIT
THR-16579,ACCUSPRAY ONE REPLAC SPRAY GUN,632.03,0,378.46,632.03,WEST,WEST,ACCUSPRAY ONE REPLAC SPRAY GUN
THR-16587,ACCUSPRAY SPRAY GUN KIT,536.04,0,320.98,536.04,WEST,WEST,ACCUSPRAY SPRAY GUN KIT
THR-165BK4A,19MMX18M TEMFLEX TAPE BLACK,3.36,6,1.87,3.36,WEST,WEST,19MMX18M TEMFLEX TAPE BLACK
THR-165BL4A,19MMX18M TEMFLEX TAPE BLUE,3.56,4,1.97,3.56,WEST,WEST,19MMX18M TEMFLEX TAPE BLUE
THR-165GR4A,19MMX18M TEMFLEX TAPE GREEN,3.56,4,1.97,3.56,WEST,WEST,19MMX18M TEMFLEX TAPE GREEN
THR-165OR4A,19MMX18M TEMFLEX TAPE ORANGE,3.56,1,1.92,3.56,WEST,WEST,19MMX18M TEMFLEX TAPE ORANGE
THR-165RD4A,19MMX18M TEMFLEX TAPE RED,3.56,6,1.97,3.56,WEST,WEST,19MMX18M TEMFLEX TAPE RED
THR-165WH4A,19MMX18M TEMFLEX TAPE WHITE,3.56,4,1.97,3.56,WEST,WEST,19MMX18M TEMFLEX TAPE WHITE
THR-165YL4A,19MMX18M TEMFLEX TAPE YELLOW,3.56,4,1.97,3.56,WEST,WEST,19MMX18M TEMFLEX TAPE YELLOW
THR-16609,ACCUSPRAY AUTOMIZING HEAD 2MM,69.47,0,37.44,69.47,WEST,WEST,ACCUSPRAY AUTOMIZING HEAD 2MM
THR-16611,ACCUSPRAY AUTOMIZING HEAD(4),71.01,0,38.27,71.01,WEST,WEST,ACCUSPRAY AUTOMIZING HEAD(4)
THR-16612,ACCUSPRAY AUTOMIZING HEAD1.4MM,72.16,0,38.89,72.16,WEST,WEST,ACCUSPRAY AUTOMIZING HEAD1.4MM
THR-18730,"2""""GREEN ROLOC BRISTLE DISC    """,20.82,0,11.22,20.82,WEST,WEST,"2""""GREEN ROLOC BRISTLE DISC    """
THR-19223,"4"""" BLACK SAFETY WALK          """,6.66,0,3.59,6.66,WEST,WEST,"4"""" BLACK SAFETY WALK          """
THR-19224,"6"""" BLACK SAFETY WALK          """,9.99,0,5.38,9.99,WEST,WEST,"6"""" BLACK SAFETY WALK          """
